"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"","","","","","html-button-response","10","2.1.0","332057","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","17944","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","become hungry","think about something","feel scared","","","","",""
"","","","","","html-button-response","11","2.1.0","333718","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1660","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","hear something","feel scared","see something","","","","",""
"","","","","","html-button-response","12","2.1.0","337152","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3432","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","take a walk","get tired","jump up and down","","","","",""
"","","","","","html-button-response","13","2.1.0","339290","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2137","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>talk a walk</strong></p>","kick something","experience pain","talk a walk","","","","",""
"","","","","","html-button-response","14","2.1.0","341425","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2133","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","feel scared","think about something","become hungry","","","","",""
"","","","","","html-button-response","15","2.1.0","343014","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1589","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","see something","feel scared","hear something","","","","",""
"","","","","","html-button-response","16","2.1.0","344337","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1321","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","sit down","think about something","jump up and down","","","","",""
"","","","","","html-button-response","17","2.1.0","346405","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2068","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","think about something","feel scared","hear something","","","","",""
"","","","","","html-button-response","18","2.1.0","346445","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","39","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","jump up and down","get tired","take a walk","","","","",""
"","","","","","instructions","19","2.1.0","347668","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1223","","","[{""page_index"":0,""viewing_time"":1223}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","370467","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","demographics_survey","22795","","{""feedback"":""I tried to based my choice on what felt most logically related"",""age"":""34"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I tried to based my choice on what felt most logically related","34","Non-Hispanic","Female","Asian"
