"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","attn_response","attn_correct","causal_itemA"
"","","","","","html-slider-response","23","2.0.0","197445","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3411","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","get tired","","50","","","jump up and down"
"","","","","","html-slider-response","24","2.0.0","203517","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6071","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely no""</strong></p>","0","","attention_check_2","","","50","0","yes",""
"","","","","","html-slider-response","25","2.0.0","208399","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4882","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>sat down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","jump up and down","sit down","50","","",""
"","","","","","html-slider-response","26","2.0.0","212300","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3900","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","feel scared","","50","","","see something"
"","","","","","html-slider-response","27","2.0.0","216309","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4008","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","take a walk","","50","","","think about something"
"","","","","","html-slider-response","28","2.0.0","226129","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9819","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","38","","similar","hear something","see something","50","","",""
"","","","","","html-slider-response","29","2.0.0","230255","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4125","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","experience pain","","50","","","kick something"
"","","","","","html-slider-response","30","2.0.0","236057","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5800","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","causal","jump up and down","","50","","","think about something"
"","","","","","html-slider-response","31","2.0.0","240289","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4232","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","similar","think about something","remember something","50","","",""
"","","","","","html-slider-response","32","2.0.0","245359","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5069","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","remember something","","50","","","take a walk"
"","","","","","html-slider-response","33","2.0.0","250360","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5000","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","12","","similar","get tired","feel scared","50","","",""
"","","","","","html-slider-response","34","2.0.0","254488","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4127","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","causal","hear something","","50","","","take a walk"
"","","","","","instructions","35","2.0.0","263662","8D471EDE52704530B40BECBE146B1A95","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9173","","","[{""page_index"":0,""viewing_time"":9173}]","","","","","","",""
