subject_id,itemB,causal_itemA,similar_itemA,explanation_type,satisfactory,causal_itemA_causal_distance,causal_itemA_freesort_distance,causal_itemA_freesort_minus_causal,similar_itemA_causal_distance,similar_itemA_freesort_distance,similar_itemA_freesort_minus_causal
subj_02,sit down,experience pain,jump up and down,Direct,2,0.08,0.87,0.79,0.61,0.3,-0.31
subj_02,sit down,experience pain,jump up and down,Intrinsic,43,0.08,0.87,0.79,0.61,0.3,-0.31
subj_02,hear something,take a walk,see something,Direct,60,0.23,0.86,0.62,0.49,0.05,-0.44
subj_02,hear something,take a walk,see something,Intrinsic,63,0.23,0.86,0.62,0.49,0.05,-0.44
subj_02,reach for something,become hungry,kick something,Direct,80,0.18,0.83,0.65,0.62,0.49,-0.14
subj_02,reach for something,become hungry,kick something,Intrinsic,40,0.18,0.83,0.65,0.62,0.49,-0.14
subj_02,choose what to do,feel scared,remember something,Direct,9,0.16,0.78,0.62,0.1,0.42,0.32
subj_02,choose what to do,feel scared,remember something,Intrinsic,68,0.16,0.78,0.62,0.1,0.42,0.32
subj_02,get sick,see something,get tired,Direct,5,0.4,0.95,0.55,0.42,0.37,-0.06
subj_02,get sick,see something,get tired,Intrinsic,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_02,experience pain,kick something,feel scared,Direct,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_02,experience pain,kick something,feel scared,Intrinsic,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_03,become hungry,take a walk,experience pain,Direct,27,0.14,0.79,0.65,0.72,0.49,-0.22
subj_03,become hungry,take a walk,experience pain,Intrinsic,11,0.14,0.79,0.65,0.72,0.49,-0.22
subj_03,choose what to do,feel scared,remember something,Direct,76,0.16,0.78,0.62,0.1,0.42,0.32
subj_03,choose what to do,feel scared,remember something,Intrinsic,50,0.16,0.78,0.62,0.1,0.42,0.32
subj_03,sit down,experience pain,jump up and down,Direct,97,0.08,0.87,0.79,0.61,0.3,-0.31
subj_03,sit down,experience pain,jump up and down,Intrinsic,16,0.08,0.87,0.79,0.61,0.3,-0.31
subj_03,kick something,think about something,jump up and down,Direct,9,0.4,0.9,0.5,0.61,0.26,-0.35
subj_03,kick something,think about something,jump up and down,Intrinsic,6,0.4,0.9,0.5,0.61,0.26,-0.35
subj_03,hear something,take a walk,see something,Direct,4,0.23,0.86,0.62,0.49,0.05,-0.44
subj_03,hear something,take a walk,see something,Intrinsic,54,0.23,0.86,0.62,0.49,0.05,-0.44
subj_03,get sick,see something,get tired,Direct,46,0.4,0.95,0.55,0.42,0.37,-0.06
subj_03,get sick,see something,get tired,Intrinsic,44,0.4,0.95,0.55,0.42,0.37,-0.06
subj_03,feel scared,see something,become hungry,Direct,92,0.06,0.78,0.71,0.63,0.58,-0.05
subj_03,feel scared,see something,become hungry,Intrinsic,8,0.06,0.78,0.71,0.63,0.58,-0.05
subj_03,see something,take a walk,hear something,Direct,86,0.17,0.86,0.69,0.46,0.05,-0.41
subj_03,see something,take a walk,hear something,Intrinsic,25,0.17,0.86,0.69,0.46,0.05,-0.41
subj_03,take a walk,think about something,jump up and down,Direct,75,0.25,0.86,0.61,0.76,0.17,-0.59
subj_03,take a walk,think about something,jump up and down,Intrinsic,25,0.25,0.86,0.61,0.76,0.17,-0.59
subj_03,get tired,jump up and down,feel scared,Direct,84,0.04,0.78,0.73,0.47,0.5,0.03
subj_03,get tired,jump up and down,feel scared,Intrinsic,15,0.04,0.78,0.73,0.47,0.5,0.03
subj_03,remember something,take a walk,think about something,Direct,54,0.22,0.91,0.69,0,0,0
subj_03,remember something,take a walk,think about something,Intrinsic,85,0.22,0.91,0.69,0,0,0
subj_03,jump up and down,think about something,sit down,Direct,11,0.39,0.99,0.6,1,0.3,-0.7
subj_03,jump up and down,think about something,sit down,Intrinsic,2,0.39,0.99,0.6,1,0.3,-0.7
subj_03,think about something,take a walk,remember something,Direct,76,0.15,0.86,0.72,0.01,0,-0.01
subj_03,think about something,take a walk,remember something,Intrinsic,75,0.15,0.86,0.72,0.01,0,-0.01
subj_03,reach for something,become hungry,kick something,Direct,64,0.18,0.83,0.65,0.62,0.49,-0.14
subj_03,reach for something,become hungry,kick something,Intrinsic,41,0.18,0.83,0.65,0.62,0.49,-0.14
subj_03,experience pain,kick something,feel scared,Direct,88,0.07,0.72,0.65,0.34,0.32,-0.02
subj_03,experience pain,kick something,feel scared,Intrinsic,28,0.07,0.72,0.65,0.34,0.32,-0.02
subj_04,remember something,take a walk,think about something,Direct,23,0.22,0.91,0.69,0,0,0
subj_04,remember something,take a walk,think about something,Intrinsic,70,0.22,0.91,0.69,0,0,0
subj_04,see something,take a walk,hear something,Direct,49,0.17,0.86,0.69,0.46,0.05,-0.41
subj_04,see something,take a walk,hear something,Intrinsic,50,0.17,0.86,0.69,0.46,0.05,-0.41
subj_04,feel scared,see something,become hungry,Direct,78,0.06,0.78,0.71,0.63,0.58,-0.05
subj_04,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_04,reach for something,become hungry,kick something,Direct,24,0.18,0.83,0.65,0.62,0.49,-0.14
subj_04,reach for something,become hungry,kick something,Intrinsic,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_04,jump up and down,think about something,sit down,Direct,48,0.39,0.99,0.6,1,0.3,-0.7
subj_04,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_04,get sick,see something,get tired,Direct,24,0.4,0.95,0.55,0.42,0.37,-0.06
subj_04,get sick,see something,get tired,Intrinsic,50,0.4,0.95,0.55,0.42,0.37,-0.06
subj_04,hear something,take a walk,see something,Direct,50,0.23,0.86,0.62,0.49,0.05,-0.44
subj_04,hear something,take a walk,see something,Intrinsic,1,0.23,0.86,0.62,0.49,0.05,-0.44
subj_04,take a walk,think about something,jump up and down,Direct,22,0.25,0.86,0.61,0.76,0.17,-0.59
subj_04,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_04,become hungry,take a walk,experience pain,Direct,73,0.14,0.79,0.65,0.72,0.49,-0.22
subj_04,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_04,choose what to do,feel scared,remember something,Direct,50,0.16,0.78,0.62,0.1,0.42,0.32
subj_04,choose what to do,feel scared,remember something,Intrinsic,50,0.16,0.78,0.62,0.1,0.42,0.32
subj_04,sit down,experience pain,jump up and down,Direct,50,0.08,0.87,0.79,0.61,0.3,-0.31
subj_04,sit down,experience pain,jump up and down,Intrinsic,21,0.08,0.87,0.79,0.61,0.3,-0.31
subj_04,kick something,think about something,jump up and down,Direct,23,0.4,0.9,0.5,0.61,0.26,-0.35
subj_04,kick something,think about something,jump up and down,Intrinsic,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_04,experience pain,kick something,feel scared,Direct,71,0.07,0.72,0.65,0.34,0.32,-0.02
subj_04,experience pain,kick something,feel scared,Intrinsic,24,0.07,0.72,0.65,0.34,0.32,-0.02
subj_04,think about something,take a walk,remember something,Direct,26,0.15,0.86,0.72,0.01,0,-0.01
subj_04,think about something,take a walk,remember something,Intrinsic,74,0.15,0.86,0.72,0.01,0,-0.01
subj_04,get tired,jump up and down,feel scared,Direct,77,0.04,0.78,0.73,0.47,0.5,0.03
subj_04,get tired,jump up and down,feel scared,Intrinsic,0,0.04,0.78,0.73,0.47,0.5,0.03
subj_05,feel scared,see something,become hungry,Direct,76,0.06,0.78,0.71,0.63,0.58,-0.05
subj_05,feel scared,see something,become hungry,Intrinsic,3,0.06,0.78,0.71,0.63,0.58,-0.05
subj_05,sit down,experience pain,jump up and down,Direct,65,0.08,0.87,0.79,0.61,0.3,-0.31
subj_05,sit down,experience pain,jump up and down,Intrinsic,8,0.08,0.87,0.79,0.61,0.3,-0.31
subj_05,get sick,see something,get tired,Direct,56,0.4,0.95,0.55,0.42,0.37,-0.06
subj_05,get sick,see something,get tired,Intrinsic,14,0.4,0.95,0.55,0.42,0.37,-0.06
subj_05,kick something,think about something,jump up and down,Direct,50,0.4,0.9,0.5,0.61,0.26,-0.35
subj_05,kick something,think about something,jump up and down,Intrinsic,60,0.4,0.9,0.5,0.61,0.26,-0.35
subj_05,take a walk,think about something,jump up and down,Direct,70,0.25,0.86,0.61,0.76,0.17,-0.59
subj_05,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_05,jump up and down,think about something,sit down,Direct,80,0.39,0.99,0.6,1,0.3,-0.7
subj_05,jump up and down,think about something,sit down,Intrinsic,9,0.39,0.99,0.6,1,0.3,-0.7
subj_05,become hungry,take a walk,experience pain,Direct,65,0.14,0.79,0.65,0.72,0.49,-0.22
subj_05,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_05,remember something,take a walk,think about something,Direct,72,0.22,0.91,0.69,0,0,0
subj_05,remember something,take a walk,think about something,Intrinsic,100,0.22,0.91,0.69,0,0,0
subj_05,get tired,jump up and down,feel scared,Direct,77,0.04,0.78,0.73,0.47,0.5,0.03
subj_05,get tired,jump up and down,feel scared,Intrinsic,8,0.04,0.78,0.73,0.47,0.5,0.03
subj_05,see something,take a walk,hear something,Direct,66,0.17,0.86,0.69,0.46,0.05,-0.41
subj_05,see something,take a walk,hear something,Intrinsic,20,0.17,0.86,0.69,0.46,0.05,-0.41
subj_05,think about something,take a walk,remember something,Direct,73,0.15,0.86,0.72,0.01,0,-0.01
subj_05,think about something,take a walk,remember something,Intrinsic,95,0.15,0.86,0.72,0.01,0,-0.01
subj_05,reach for something,become hungry,kick something,Direct,93,0.18,0.83,0.65,0.62,0.49,-0.14
subj_05,reach for something,become hungry,kick something,Intrinsic,10,0.18,0.83,0.65,0.62,0.49,-0.14
subj_05,hear something,take a walk,see something,Direct,70,0.23,0.86,0.62,0.49,0.05,-0.44
subj_05,hear something,take a walk,see something,Intrinsic,50,0.23,0.86,0.62,0.49,0.05,-0.44
subj_05,experience pain,kick something,feel scared,Direct,87,0.07,0.72,0.65,0.34,0.32,-0.02
subj_05,experience pain,kick something,feel scared,Intrinsic,22,0.07,0.72,0.65,0.34,0.32,-0.02
subj_05,choose what to do,feel scared,remember something,Direct,76,0.16,0.78,0.62,0.1,0.42,0.32
subj_05,choose what to do,feel scared,remember something,Intrinsic,50,0.16,0.78,0.62,0.1,0.42,0.32
subj_06,get tired,jump up and down,feel scared,Direct,0,0.04,0.78,0.73,0.47,0.5,0.03
subj_06,get tired,jump up and down,feel scared,Intrinsic,0,0.04,0.78,0.73,0.47,0.5,0.03
subj_06,feel scared,see something,become hungry,Direct,49,0.06,0.78,0.71,0.63,0.58,-0.05
subj_06,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_06,get sick,see something,get tired,Direct,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_06,get sick,see something,get tired,Intrinsic,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_06,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_06,experience pain,kick something,feel scared,Intrinsic,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_06,think about something,take a walk,remember something,Direct,100,0.15,0.86,0.72,0.01,0,-0.01
subj_06,think about something,take a walk,remember something,Intrinsic,100,0.15,0.86,0.72,0.01,0,-0.01
subj_06,reach for something,become hungry,kick something,Direct,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_06,reach for something,become hungry,kick something,Intrinsic,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_06,take a walk,think about something,jump up and down,Direct,50,0.25,0.86,0.61,0.76,0.17,-0.59
subj_06,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_06,become hungry,take a walk,experience pain,Direct,100,0.14,0.79,0.65,0.72,0.49,-0.22
subj_06,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_06,sit down,experience pain,jump up and down,Direct,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_06,sit down,experience pain,jump up and down,Intrinsic,26,0.08,0.87,0.79,0.61,0.3,-0.31
subj_06,choose what to do,feel scared,remember something,Direct,49,0.16,0.78,0.62,0.1,0.42,0.32
subj_06,choose what to do,feel scared,remember something,Intrinsic,75,0.16,0.78,0.62,0.1,0.42,0.32
subj_06,remember something,take a walk,think about something,Direct,100,0.22,0.91,0.69,0,0,0
subj_06,remember something,take a walk,think about something,Intrinsic,100,0.22,0.91,0.69,0,0,0
subj_06,kick something,think about something,jump up and down,Direct,100,0.4,0.9,0.5,0.61,0.26,-0.35
subj_06,kick something,think about something,jump up and down,Intrinsic,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_06,see something,take a walk,hear something,Direct,50,0.17,0.86,0.69,0.46,0.05,-0.41
subj_06,see something,take a walk,hear something,Intrinsic,0,0.17,0.86,0.69,0.46,0.05,-0.41
subj_06,jump up and down,think about something,sit down,Direct,100,0.39,0.99,0.6,1,0.3,-0.7
subj_06,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_06,hear something,take a walk,see something,Direct,24,0.23,0.86,0.62,0.49,0.05,-0.44
subj_06,hear something,take a walk,see something,Intrinsic,0,0.23,0.86,0.62,0.49,0.05,-0.44
subj_07,reach for something,become hungry,kick something,Direct,65,0.18,0.83,0.65,0.62,0.49,-0.14
subj_07,reach for something,become hungry,kick something,Intrinsic,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_07,get tired,jump up and down,feel scared,Direct,65,0.04,0.78,0.73,0.47,0.5,0.03
subj_07,get tired,jump up and down,feel scared,Intrinsic,32,0.04,0.78,0.73,0.47,0.5,0.03
subj_07,get sick,see something,get tired,Direct,20,0.4,0.95,0.55,0.42,0.37,-0.06
subj_07,get sick,see something,get tired,Intrinsic,29,0.4,0.95,0.55,0.42,0.37,-0.06
subj_07,feel scared,see something,become hungry,Direct,51,0.06,0.78,0.71,0.63,0.58,-0.05
subj_07,feel scared,see something,become hungry,Intrinsic,37,0.06,0.78,0.71,0.63,0.58,-0.05
subj_07,think about something,take a walk,remember something,Direct,57,0.15,0.86,0.72,0.01,0,-0.01
subj_07,think about something,take a walk,remember something,Intrinsic,81,0.15,0.86,0.72,0.01,0,-0.01
subj_07,remember something,take a walk,think about something,Direct,64,0.22,0.91,0.69,0,0,0
subj_07,remember something,take a walk,think about something,Intrinsic,72,0.22,0.91,0.69,0,0,0
subj_07,choose what to do,feel scared,remember something,Direct,39,0.16,0.78,0.62,0.1,0.42,0.32
subj_07,choose what to do,feel scared,remember something,Intrinsic,73,0.16,0.78,0.62,0.1,0.42,0.32
subj_07,experience pain,kick something,feel scared,Direct,24,0.07,0.72,0.65,0.34,0.32,-0.02
subj_07,experience pain,kick something,feel scared,Intrinsic,75,0.07,0.72,0.65,0.34,0.32,-0.02
subj_07,jump up and down,think about something,sit down,Direct,23,0.39,0.99,0.6,1,0.3,-0.7
subj_07,jump up and down,think about something,sit down,Intrinsic,27,0.39,0.99,0.6,1,0.3,-0.7
subj_07,kick something,think about something,jump up and down,Direct,6,0.4,0.9,0.5,0.61,0.26,-0.35
subj_07,kick something,think about something,jump up and down,Intrinsic,40,0.4,0.9,0.5,0.61,0.26,-0.35
subj_07,hear something,take a walk,see something,Direct,64,0.23,0.86,0.62,0.49,0.05,-0.44
subj_07,hear something,take a walk,see something,Intrinsic,36,0.23,0.86,0.62,0.49,0.05,-0.44
subj_07,sit down,experience pain,jump up and down,Direct,65,0.08,0.87,0.79,0.61,0.3,-0.31
subj_07,sit down,experience pain,jump up and down,Intrinsic,65,0.08,0.87,0.79,0.61,0.3,-0.31
subj_07,take a walk,think about something,jump up and down,Direct,60,0.25,0.86,0.61,0.76,0.17,-0.59
subj_07,take a walk,think about something,jump up and down,Intrinsic,31,0.25,0.86,0.61,0.76,0.17,-0.59
subj_07,become hungry,take a walk,experience pain,Direct,69,0.14,0.79,0.65,0.72,0.49,-0.22
subj_07,become hungry,take a walk,experience pain,Intrinsic,20,0.14,0.79,0.65,0.72,0.49,-0.22
subj_07,see something,take a walk,hear something,Direct,75,0.17,0.86,0.69,0.46,0.05,-0.41
subj_07,see something,take a walk,hear something,Intrinsic,73,0.17,0.86,0.69,0.46,0.05,-0.41
subj_08,become hungry,take a walk,experience pain,Direct,53,0.14,0.79,0.65,0.72,0.49,-0.22
subj_08,become hungry,take a walk,experience pain,Intrinsic,23,0.14,0.79,0.65,0.72,0.49,-0.22
subj_08,feel scared,see something,become hungry,Direct,71,0.06,0.78,0.71,0.63,0.58,-0.05
subj_08,feel scared,see something,become hungry,Intrinsic,1,0.06,0.78,0.71,0.63,0.58,-0.05
subj_08,see something,take a walk,hear something,Direct,1,0.17,0.86,0.69,0.46,0.05,-0.41
subj_08,see something,take a walk,hear something,Intrinsic,9,0.17,0.86,0.69,0.46,0.05,-0.41
subj_08,experience pain,kick something,feel scared,Direct,79,0.07,0.72,0.65,0.34,0.32,-0.02
subj_08,experience pain,kick something,feel scared,Intrinsic,70,0.07,0.72,0.65,0.34,0.32,-0.02
subj_08,choose what to do,feel scared,remember something,Direct,20,0.16,0.78,0.62,0.1,0.42,0.32
subj_08,choose what to do,feel scared,remember something,Intrinsic,5,0.16,0.78,0.62,0.1,0.42,0.32
subj_08,get sick,see something,get tired,Direct,83,0.4,0.95,0.55,0.42,0.37,-0.06
subj_08,get sick,see something,get tired,Intrinsic,22,0.4,0.95,0.55,0.42,0.37,-0.06
subj_08,take a walk,think about something,jump up and down,Direct,63,0.25,0.86,0.61,0.76,0.17,-0.59
subj_08,take a walk,think about something,jump up and down,Intrinsic,2,0.25,0.86,0.61,0.76,0.17,-0.59
subj_08,think about something,take a walk,remember something,Direct,72,0.15,0.86,0.72,0.01,0,-0.01
subj_08,think about something,take a walk,remember something,Intrinsic,9,0.15,0.86,0.72,0.01,0,-0.01
subj_08,sit down,experience pain,jump up and down,Direct,65,0.08,0.87,0.79,0.61,0.3,-0.31
subj_08,sit down,experience pain,jump up and down,Intrinsic,78,0.08,0.87,0.79,0.61,0.3,-0.31
subj_08,remember something,take a walk,think about something,Direct,73,0.22,0.91,0.69,0,0,0
subj_08,remember something,take a walk,think about something,Intrinsic,22,0.22,0.91,0.69,0,0,0
subj_08,kick something,think about something,jump up and down,Direct,12,0.4,0.9,0.5,0.61,0.26,-0.35
subj_08,kick something,think about something,jump up and down,Intrinsic,15,0.4,0.9,0.5,0.61,0.26,-0.35
subj_08,hear something,take a walk,see something,Direct,28,0.23,0.86,0.62,0.49,0.05,-0.44
subj_08,hear something,take a walk,see something,Intrinsic,14,0.23,0.86,0.62,0.49,0.05,-0.44
subj_08,reach for something,become hungry,kick something,Direct,68,0.18,0.83,0.65,0.62,0.49,-0.14
subj_08,reach for something,become hungry,kick something,Intrinsic,3,0.18,0.83,0.65,0.62,0.49,-0.14
subj_08,get tired,jump up and down,feel scared,Direct,25,0.04,0.78,0.73,0.47,0.5,0.03
subj_08,get tired,jump up and down,feel scared,Intrinsic,6,0.04,0.78,0.73,0.47,0.5,0.03
subj_08,jump up and down,think about something,sit down,Direct,1,0.39,0.99,0.6,1,0.3,-0.7
subj_08,jump up and down,think about something,sit down,Intrinsic,2,0.39,0.99,0.6,1,0.3,-0.7
subj_09,see something,take a walk,hear something,Direct,50,0.17,0.86,0.69,0.46,0.05,-0.41
subj_09,see something,take a walk,hear something,Intrinsic,27,0.17,0.86,0.69,0.46,0.05,-0.41
subj_09,remember something,take a walk,think about something,Direct,75,0.22,0.91,0.69,0,0,0
subj_09,remember something,take a walk,think about something,Intrinsic,82,0.22,0.91,0.69,0,0,0
subj_09,become hungry,take a walk,experience pain,Direct,43,0.14,0.79,0.65,0.72,0.49,-0.22
subj_09,become hungry,take a walk,experience pain,Intrinsic,5,0.14,0.79,0.65,0.72,0.49,-0.22
subj_09,choose what to do,feel scared,remember something,Direct,79,0.16,0.78,0.62,0.1,0.42,0.32
subj_09,choose what to do,feel scared,remember something,Intrinsic,90,0.16,0.78,0.62,0.1,0.42,0.32
subj_09,kick something,think about something,jump up and down,Direct,87,0.4,0.9,0.5,0.61,0.26,-0.35
subj_09,kick something,think about something,jump up and down,Intrinsic,67,0.4,0.9,0.5,0.61,0.26,-0.35
subj_09,sit down,experience pain,jump up and down,Direct,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_09,sit down,experience pain,jump up and down,Intrinsic,27,0.08,0.87,0.79,0.61,0.3,-0.31
subj_09,get tired,jump up and down,feel scared,Direct,77,0.04,0.78,0.73,0.47,0.5,0.03
subj_09,get tired,jump up and down,feel scared,Intrinsic,41,0.04,0.78,0.73,0.47,0.5,0.03
subj_09,take a walk,think about something,jump up and down,Direct,76,0.25,0.86,0.61,0.76,0.17,-0.59
subj_09,take a walk,think about something,jump up and down,Intrinsic,6,0.25,0.86,0.61,0.76,0.17,-0.59
subj_09,feel scared,see something,become hungry,Direct,95,0.06,0.78,0.71,0.63,0.58,-0.05
subj_09,feel scared,see something,become hungry,Intrinsic,61,0.06,0.78,0.71,0.63,0.58,-0.05
subj_09,hear something,take a walk,see something,Direct,73,0.23,0.86,0.62,0.49,0.05,-0.44
subj_09,hear something,take a walk,see something,Intrinsic,65,0.23,0.86,0.62,0.49,0.05,-0.44
subj_09,get sick,see something,get tired,Direct,49,0.4,0.95,0.55,0.42,0.37,-0.06
subj_09,get sick,see something,get tired,Intrinsic,36,0.4,0.95,0.55,0.42,0.37,-0.06
subj_09,jump up and down,think about something,sit down,Direct,65,0.39,0.99,0.6,1,0.3,-0.7
subj_09,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_09,think about something,take a walk,remember something,Direct,86,0.15,0.86,0.72,0.01,0,-0.01
subj_09,think about something,take a walk,remember something,Intrinsic,82,0.15,0.86,0.72,0.01,0,-0.01
subj_09,experience pain,kick something,feel scared,Direct,92,0.07,0.72,0.65,0.34,0.32,-0.02
subj_09,experience pain,kick something,feel scared,Intrinsic,27,0.07,0.72,0.65,0.34,0.32,-0.02
subj_09,reach for something,become hungry,kick something,Direct,100,0.18,0.83,0.65,0.62,0.49,-0.14
subj_09,reach for something,become hungry,kick something,Intrinsic,44,0.18,0.83,0.65,0.62,0.49,-0.14
subj_10,reach for something,become hungry,kick something,Direct,14,0.18,0.83,0.65,0.62,0.49,-0.14
subj_10,reach for something,become hungry,kick something,Intrinsic,27,0.18,0.83,0.65,0.62,0.49,-0.14
subj_10,hear something,take a walk,see something,Direct,24,0.23,0.86,0.62,0.49,0.05,-0.44
