"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","attn_response","attn_correct","causal_itemA","feedback","age","ethnicity","gender","race"
"","","","","","html-slider-response","10","2.1.0","280933","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5898","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","25","","counterfactual","choose what to do","","50","25","","","experience pain","","","","",""
"","","","","","html-slider-response","11","2.1.0","289150","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8215","<p style=""font-size: 25px;"">A person <strong>got sick</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get sick</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","25","","counterfactual","jump up and down","","50","25","","","see something","","","","",""
"","","","","","html-slider-response","12","2.1.0","295433","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6281","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","25","","counterfactual","experience pain","","50","25","","","kick something","","","","",""
"","","","","","html-slider-response","13","2.1.0","299783","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4349","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","25","","counterfactual","hear something","","50","25","","","take a walk","","","","",""
"","","","","","html-slider-response","14","2.1.0","304050","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4266","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","74","","similarity","remember something","think about something","50","74","","","","","","","",""
"","","","","","html-slider-response","15","2.1.0","307550","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3498","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","26","","counterfactual","take a walk","","50","26","","","think about something","","","","",""
"","","","","","html-slider-response","16","2.1.0","313983","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6432","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","25","","similarity","jump up and down","sit down","50","25","","","","","","","",""
"","","","","","html-slider-response","17","2.1.0","318816","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4832","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","26","","counterfactual","get tired","","50","26","","","jump up and down","","","","",""
"","","","","","html-slider-response","18","2.1.0","325616","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6799","<p style=""font-size: 25px;"">A person <strong>heard something</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>hear something</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","75","","similarity","see something","hear something","50","75","","","","","","","",""
"","","","","","html-slider-response","19","2.1.0","330332","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4715","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","74","","similarity","kick something","sit down","50","74","","","","","","","",""
"","","","","","html-slider-response","20","2.1.0","336166","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5832","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","75","","similarity","feel scared","get tired","50","75","","","","","","","",""
"","","","","","html-slider-response","21","2.1.0","342199","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6032","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","12","","counterfactual","remember something","","50","12","","","take a walk","","","","",""
"","","","","","html-slider-response","22","2.1.0","347532","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5332","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","25","","similarity","experience pain","get tired","50","25","","","","","","","",""
"","","","","","html-slider-response","23","2.1.0","353083","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5550","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","76","","similarity","take a walk","sit down","50","76","","","","","","","",""
"","","","","","html-slider-response","24","2.1.0","359349","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6265","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","74","","similarity","sit down","jump up and down","50","74","","","","","","","",""
"","","","","","html-slider-response","25","2.1.0","365000","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5649","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","25","","similarity","think about something","remember something","50","25","","","","","","","",""
"","","","","","html-slider-response","26","2.1.0","368249","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3248","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","26","","counterfactual","get sick","","50","26","","","see something","","","","",""
"","","","","","html-slider-response","27","2.1.0","373082","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4832","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","74","","similarity","get sick","get tired","50","74","","","","","","","",""
"","","","","","html-slider-response","28","2.1.0","377899","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4816","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","25","","similarity","choose what to do","remember something","50","25","","","","","","","",""
"","","","","","html-slider-response","29","2.1.0","381933","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4032","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","74","","similarity","reach for something","kick something","50","74","","","","","","","",""
"","","","","","html-slider-response","30","2.1.0","388082","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6148","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","12","","counterfactual","think about something","","50","12","","","get sick","","","","",""
"","","","","","html-slider-response","31","2.1.0","393299","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5216","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","73","","counterfactual","become hungry","","50","73","","","take a walk","","","","",""
"","","","","","html-slider-response","32","2.1.0","396866","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3565","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","74","","counterfactual","feel scared","","50","74","","","see something","","","","",""
"","","","","","html-slider-response","33","2.1.0","400532","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3665","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","74","","similarity","become hungry","feel scared","50","74","","","","","","","",""
"","","","","","html-slider-response","34","2.1.0","403966","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3432","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","25","","counterfactual","reach for something","","50","25","","","become hungry","","","","",""
"","","","","","instructions","35","2.1.0","408565","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4599","","","[{""page_index"":0,""viewing_time"":4599}]","","","","","","","","","","","","",""
"","","","","","survey-html-form","36","2.1.0","430934","46331EBA4F494FAD901E83106523FF12","0198e2e6-53d2-7620-b375-fc2f891db9ae","0198e2d6-5c2e-73f5-8451-25a6796d814f","demographics_survey","22366","","{""feedback"":""I thought about what I would do in each situation."",""age"":""41"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","","","I thought about what I would do in each situation.","41","Non-Hispanic","Female","Asian"
