"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","rt","condition","itemB","similar_itemA","stimulus","slider_start","response","response_value","causal_itemA","correct_response_attn","selected_choice"
"","","","","","html-slider-response","10","2.0.0","16424","","","","","1079","counterfactual","choose what to do","","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>experienced pain</strong>?</p>","50","30","30","feel scared","",""
"","","","","","html-slider-response","11","2.0.0","18091","","","","","1663","counterfactual","choose what to do","remember something","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>experienced pain</strong>?</p>","50","87","87","","",""
"","","","","","html-slider-response","12","2.0.0","19608","","","","","1512","counterfactual","sit down","jump up and down","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>gotten tired</strong>?</p>","50","19","19","","",""
"","","","","","html-slider-response","13","2.0.0","21474","","","","","1863","counterfactual","feel scared","become hungry","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","50","14","14","","",""
"","","","","","html-slider-response","14","2.0.0","22725","","","","","1247","counterfactual","sit down","","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired</strong>?</p>","50","84","84","experience pain","",""
"","","","","","html-slider-response","15","2.0.0","24890","","","","","2162","counterfactual","think about something","","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry</strong>?</p>","50","90","90","take a walk","",""
"","","","","","html-slider-response","16","2.0.0","26191","","","","","1297","counterfactual","get sick","","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","50","41","41","see something","",""
"","","","","","html-slider-response","17","2.0.0","32808","","","","","6613","counterfactual","jump up and down","sit down","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","50","60","60","","",""
"","","","","","html-slider-response","18","2.0.0","34824","","","","","2012","counterfactual","take a walk","jump up and down","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","50","44","44","","",""
"","","","","","html-slider-response","19","2.0.0","36256","","","","","1430","counterfactual","experience pain","feel scared","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","50","38","38","","",""
"","","","","","html-slider-response","20","2.0.0","37841","","","","","1583","counterfactual","remember something","","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","50","27","27","take a walk","",""
"","","","","","html-slider-response","21","2.0.0","39158","","","","","1314","counterfactual","remember something","think about something","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","50","20","20","","",""
"","","","","","html-slider-response","22","2.0.0","41458","","","","","2296","attention_check_similarity","","","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","50","17","","","100","no"
"","","","","","html-slider-response","23","2.0.0","43141","","","","","1680","counterfactual","hear something","see something","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","50","70","70","","",""
"","","","","","html-slider-response","24","2.0.0","46041","","","","","2896","counterfactual","feel scared","","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","50","80","80","see something","",""
"","","","","","html-slider-response","25","2.0.0","47342","","","","","1297","counterfactual","get tired","","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","50","85","85","jump up and down","",""
"","","","","","html-slider-response","26","2.0.0","48808","","","","","1462","counterfactual","reach for something","kick something","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>felt scared</strong>?</p>","50","89","89","","",""
"","","","","","html-slider-response","27","2.0.0","50408","","","","","1598","counterfactual","get sick","get tired","<p style=""font-size: 25px;"">A person <strong>heard something</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>hear something</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","50","82","82","","",""
"","","","","","html-slider-response","28","2.0.0","51775","","","","","1363","counterfactual","become hungry","experience pain","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","50","89","89","","",""
"","","","","","html-slider-response","29","2.0.0","53158","","","","","1380","counterfactual","reach for something","","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared</strong>?</p>","50","39","39","become hungry","",""
"","","","","","html-slider-response","30","2.0.0","54959","","","","","1797","attention_check_counterfactual","","","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely not""</strong></p>","50","32","","","0","no"
"","","","","","html-slider-response","31","2.0.0","56691","","","","","1729","counterfactual","experience pain","","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","50","42","42","kick something","",""
"","","","","","html-slider-response","32","2.0.0","58225","","","","","1530","counterfactual","see something","hear something","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","50","58","58","","",""
"","","","","","html-slider-response","33","2.0.0","59759","","","","","1530","counterfactual","see something","","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","50","68","68","take a walk","",""
"","","","","","instructions","34","2.0.0","69825","","","","[{""page_index"":0,""viewing_time"":10064}]","10064","","","","","","","","","",""
