"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","rt","condition","itemB","causal_itemA","stimulus","slider_start","response","response_value","similar_itemA","attn_response","attn_correct","trial_id","feedback","age","ethnicity","gender","race"
"","","","","","html-slider-response","13","2.0.0","248640","","","","","21883","counterfactual","see something","","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","50","64","64","hear something","","","","","","","",""
"","","","","","html-slider-response","14","2.0.0","257649","","","","","9007","counterfactual","jump up and down","","<p style=""font-size: 25px;"">A person <strong>heard something</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>hear something</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","50","41","41","sit down","","","","","","","",""
"","","","","","html-slider-response","15","2.0.0","262174","","","","","4522","attention_check_counterfactual","","","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely not""</strong></p>","50","0","","","0","yes","","","","","",""
"","","","","","html-slider-response","16","2.0.0","278183","","","","","16006","counterfactual","see something","take a walk","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","50","39","39","","","","","","","","",""
"","","","","","html-slider-response","17","2.0.0","288926","","","","","10739","counterfactual","reach for something","","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","50","59","59","kick something","","","","","","","",""
"","","","","","html-slider-response","18","2.0.0","295411","","","","","6483","counterfactual","feel scared","see something","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","50","44","44","","","","","","","","",""
"","","","","","html-slider-response","19","2.0.0","309392","","","","","13978","counterfactual","remember something","","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","50","36","36","think about something","","","","","","","",""
"","","","","","html-slider-response","20","2.0.0","338800","","","","","29404","counterfactual","get tired","jump up and down","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","50","64","64","","","","","","","","",""
"","","","","","html-slider-response","21","2.0.0","348607","","","","","9804","counterfactual","take a walk","think about something","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","50","59","59","","","","","","","","",""
"","","","","","html-slider-response","22","2.0.0","352744","","","","","4134","counterfactual","kick something","","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","50","33","33","jump up and down","","","","","","","",""
"","","","","","html-slider-response","23","2.0.0","359197","","","","","6450","counterfactual","experience pain","kick something","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","50","61","61","","","","","","","","",""
"","","","","","html-slider-response","24","2.0.0","366456","","","","","7257","counterfactual","reach for something","become hungry","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","50","38","38","","","","","","","","",""
"","","","","","html-slider-response","25","2.0.0","377567","","","","","11108","counterfactual","feel scared","","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","50","37","37","become hungry","","","","","","","",""
"","","","","","html-slider-response","26","2.0.0","381968","","","","","4399","counterfactual","kick something","think about something","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","50","58","58","","","","","","","","",""
"","","","","","html-slider-response","27","2.0.0","387689","","","","","5718","attention_check_similarity","","","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","50","100","","","100","yes","","","","","",""
"","","","","","html-slider-response","28","2.0.0","389692","","","","","1998","counterfactual","hear something","take a walk","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","50","62","62","","","","","","","","",""
"","","","","","html-slider-response","29","2.0.0","392010","","","","","2314","counterfactual","remember something","take a walk","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","50","36","36","","","","","","","","",""
"","","","","","html-slider-response","30","2.0.0","393928","","","","","1915","counterfactual","become hungry","","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","50","23","23","experience pain","","","","","","","",""
"","","","","","html-slider-response","31","2.0.0","395213","","","","","1281","counterfactual","get sick","","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","50","65","65","get tired","","","","","","","",""
"","","","","","html-slider-response","32","2.0.0","396347","","","","","1131","counterfactual","think about something","","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","50","70","70","remember something","","","","","","","",""
"","","","","","html-slider-response","33","2.0.0","397949","","","","","1598","counterfactual","take a walk","","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","50","79","79","jump up and down","","","","","","","",""
"","","","","","instructions","34","2.0.0","407038","","","","[{""page_index"":0,""viewing_time"":9087}]","9087","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","35","2.0.0","419820","","","","","12778","","","","","","{""feedback"":""guessed"",""age"":""22"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Hispanic""}","","","","","demographics_survey","guessed","22","Hispanic","Female","Black/African American"
