"subject_id","itemA","itemB","freesort_distance","trial_type_order","domain_itemA","domain_itemB"
"subj_01","sit down","hear something",0.18,"causal_pairs_first","action","mind"
"subj_01","think about something","hear something",0.73,"causal_pairs_first","mind","mind"
"subj_01","get tired","hear something",0.36,"causal_pairs_first","body","mind"
"subj_01","kick something","hear something",0.56,"causal_pairs_first","action","mind"
"subj_01","feel scared","hear something",0.07,"causal_pairs_first","body","mind"
"subj_01","see something","reach for something",0.91,"causal_pairs_first","mind","action"
"subj_01","get sick","reach for something",1,"causal_pairs_first","body","action"
"subj_01","hear something","reach for something",0.71,"causal_pairs_first","mind","action"
"subj_01","remember something","reach for something",0.85,"causal_pairs_first","mind","action"
"subj_01","experience pain","reach for something",0.55,"causal_pairs_first","body","action"
"subj_01","take a walk","reach for something",0.15,"causal_pairs_first","action","action"
"subj_01","become hungry","reach for something",0.29,"causal_pairs_first","body","action"
"subj_01","choose what to do","reach for something",0.02,"causal_pairs_first","mind","action"
"subj_01","jump up and down","reach for something",0.31,"causal_pairs_first","action","action"
"subj_01","sit down","reach for something",0.45,"causal_pairs_first","action","action"
"subj_01","think about something","reach for something",0.45,"causal_pairs_first","mind","action"
"subj_01","get tired","reach for something",0.31,"causal_pairs_first","body","action"
"subj_01","kick something","reach for something",0.68,"causal_pairs_first","action","action"
"subj_01","feel scared","reach for something",0.73,"causal_pairs_first","body","action"
"subj_01","see something","remember something",0,"causal_pairs_first","mind","mind"
"subj_01","get sick","remember something",0.19,"causal_pairs_first","body","mind"
"subj_01","hear something","remember something",0.23,"causal_pairs_first","mind","mind"
"subj_01","reach for something","remember something",0.85,"causal_pairs_first","action","mind"
"subj_01","experience pain","remember something",0.31,"causal_pairs_first","body","mind"
"subj_01","take a walk","remember something",0.66,"causal_pairs_first","action","mind"
"subj_01","become hungry","remember something",0.7,"causal_pairs_first","body","mind"
"subj_01","choose what to do","remember something",0.8,"causal_pairs_first","mind","mind"
"subj_01","jump up and down","remember something",0.49,"causal_pairs_first","action","mind"
"subj_01","sit down","remember something",0.47,"causal_pairs_first","action","mind"
"subj_01","think about something","remember something",0.65,"causal_pairs_first","mind","mind"
"subj_01","get tired","remember something",0.62,"causal_pairs_first","body","mind"
"subj_01","kick something","remember something",0.36,"causal_pairs_first","action","mind"
"subj_01","feel scared","remember something",0.41,"causal_pairs_first","body","mind"
"subj_01","see something","experience pain",0.3,"causal_pairs_first","mind","body"
"subj_01","get sick","experience pain",0.59,"causal_pairs_first","body","body"
"subj_01","hear something","experience pain",0.44,"causal_pairs_first","mind","body"
"subj_01","reach for something","experience pain",0.55,"causal_pairs_first","action","body"
"subj_01","remember something","experience pain",0.31,"causal_pairs_first","mind","body"
"subj_01","take a walk","experience pain",0.46,"causal_pairs_first","action","body"
"subj_01","become hungry","experience pain",0.28,"causal_pairs_first","body","body"
"subj_01","choose what to do","experience pain",0.45,"causal_pairs_first","mind","body"
"subj_01","jump up and down","experience pain",0.36,"causal_pairs_first","action","body"
"subj_01","sit down","experience pain",0.46,"causal_pairs_first","action","body"
"subj_01","think about something","experience pain",0.22,"causal_pairs_first","mind","body"
"subj_01","get tired","experience pain",0.52,"causal_pairs_first","body","body"
"subj_01","kick something","experience pain",0.03,"causal_pairs_first","action","body"
"subj_01","feel scared","experience pain",0.6,"causal_pairs_first","body","body"
"subj_01","see something","take a walk",0.74,"causal_pairs_first","mind","action"
"subj_01","get sick","take a walk",0.76,"causal_pairs_first","body","action"
"subj_01","hear something","take a walk",0.46,"causal_pairs_first","mind","action"
"subj_01","reach for something","take a walk",0.15,"causal_pairs_first","action","action"
"subj_01","remember something","take a walk",0.66,"causal_pairs_first","mind","action"
"subj_01","experience pain","take a walk",0.46,"causal_pairs_first","body","action"
"subj_01","become hungry","take a walk",0.38,"causal_pairs_first","body","action"
"subj_01","choose what to do","take a walk",0.21,"causal_pairs_first","mind","action"
"subj_01","jump up and down","take a walk",0.06,"causal_pairs_first","action","action"
"subj_01","sit down","take a walk",0.19,"causal_pairs_first","action","action"
"subj_01","think about something","take a walk",0.5,"causal_pairs_first","mind","action"
"subj_01","get tired","take a walk",0.05,"causal_pairs_first","body","action"
"subj_01","kick something","take a walk",0.61,"causal_pairs_first","action","action"
"subj_01","feel scared","take a walk",0.46,"causal_pairs_first","body","action"
"subj_01","see something","become hungry",0.71,"causal_pairs_first","mind","body"
"subj_01","get sick","become hungry",0.94,"causal_pairs_first","body","body"
"subj_01","hear something","become hungry",0.71,"causal_pairs_first","mind","body"
"subj_01","reach for something","become hungry",0.29,"causal_pairs_first","action","body"
"subj_01","remember something","become hungry",0.7,"causal_pairs_first","mind","body"
"subj_01","experience pain","become hungry",0.28,"causal_pairs_first","body","body"
"subj_01","take a walk","become hungry",0.38,"causal_pairs_first","action","body"
"subj_01","choose what to do","become hungry",0.15,"causal_pairs_first","mind","body"
"subj_01","jump up and down","become hungry",0.41,"causal_pairs_first","action","body"
"subj_01","sit down","become hungry",0.58,"causal_pairs_first","action","body"
"subj_01","think about something","become hungry",0.04,"causal_pairs_first","mind","body"
"subj_01","get tired","become hungry",0.52,"causal_pairs_first","body","body"
"subj_01","kick something","become hungry",0.35,"causal_pairs_first","action","body"
"subj_01","feel scared","become hungry",0.81,"causal_pairs_first","body","body"
"subj_01","see something","choose what to do",0.84,"causal_pairs_first","mind","mind"
"subj_01","get sick","choose what to do",0.98,"causal_pairs_first","body","mind"
"subj_01","hear something","choose what to do",0.71,"causal_pairs_first","mind","mind"
"subj_01","reach for something","choose what to do",0.02,"causal_pairs_first","action","mind"
"subj_01","remember something","choose what to do",0.8,"causal_pairs_first","mind","mind"
"subj_01","experience pain","choose what to do",0.45,"causal_pairs_first","body","mind"
"subj_01","take a walk","choose what to do",0.21,"causal_pairs_first","action","mind"
"subj_01","become hungry","choose what to do",0.15,"causal_pairs_first","body","mind"
"subj_01","jump up and down","choose what to do",0.32,"causal_pairs_first","action","mind"
"subj_01","sit down","choose what to do",0.49,"causal_pairs_first","action","mind"
"subj_01","think about something","choose what to do",0.31,"causal_pairs_first","mind","mind"
"subj_01","get tired","choose what to do",0.37,"causal_pairs_first","body","mind"
"subj_01","kick something","choose what to do",0.56,"causal_pairs_first","action","mind"
"subj_01","feel scared","choose what to do",0.76,"causal_pairs_first","body","mind"
"subj_01","see something","jump up and down",0.58,"causal_pairs_first","mind","action"
"subj_01","get sick","jump up and down",0.58,"causal_pairs_first","body","action"
"subj_01","hear something","jump up and down",0.28,"causal_pairs_first","mind","action"
"subj_01","reach for something","jump up and down",0.31,"causal_pairs_first","action","action"
"subj_01","remember something","jump up and down",0.49,"causal_pairs_first","mind","action"
"subj_01","experience pain","jump up and down",0.36,"causal_pairs_first","body","action"
"subj_01","take a walk","jump up and down",0.06,"causal_pairs_first","action","action"
"subj_01","become hungry","jump up and down",0.41,"causal_pairs_first","body","action"
"subj_01","choose what to do","jump up and down",0.32,"causal_pairs_first","mind","action"
"subj_01","sit down","jump up and down",0.05,"causal_pairs_first","action","action"
"subj_01","think about something","jump up and down",0.5,"causal_pairs_first","mind","action"
"subj_01","get tired","jump up and down",0.03,"causal_pairs_first","body","action"
"subj_01","kick something","jump up and down",0.52,"causal_pairs_first","action","action"
"subj_01","feel scared","jump up and down",0.31,"causal_pairs_first","body","action"
"subj_01","see something","sit down",0.57,"causal_pairs_first","mind","action"
"subj_01","get sick","sit down",0.48,"causal_pairs_first","body","action"
"subj_01","hear something","sit down",0.18,"causal_pairs_first","mind","action"
"subj_01","reach for something","sit down",0.45,"causal_pairs_first","action","action"
"subj_01","remember something","sit down",0.47,"causal_pairs_first","mind","action"
"subj_01","experience pain","sit down",0.46,"causal_pairs_first","body","action"
"subj_01","take a walk","sit down",0.19,"causal_pairs_first","action","action"
"subj_01","become hungry","sit down",0.58,"causal_pairs_first","body","action"
"subj_01","choose what to do","sit down",0.49,"causal_pairs_first","mind","action"
"subj_01","jump up and down","sit down",0.05,"causal_pairs_first","action","action"
"subj_01","think about something","sit down",0.65,"causal_pairs_first","mind","action"
"subj_01","get tired","sit down",0.06,"causal_pairs_first","body","action"
"subj_01","kick something","sit down",0.61,"causal_pairs_first","action","action"
"subj_01","feel scared","sit down",0.16,"causal_pairs_first","body","action"
"subj_01","see something","think about something",0.63,"causal_pairs_first","mind","mind"
"subj_01","get sick","think about something",0.92,"causal_pairs_first","body","mind"
"subj_01","hear something","think about something",0.73,"causal_pairs_first","mind","mind"
"subj_01","reach for something","think about something",0.45,"causal_pairs_first","action","mind"
"subj_01","remember something","think about something",0.65,"causal_pairs_first","mind","mind"
"subj_01","experience pain","think about something",0.22,"causal_pairs_first","body","mind"
"subj_01","take a walk","think about something",0.5,"causal_pairs_first","action","mind"
"subj_01","become hungry","think about something",0.04,"causal_pairs_first","body","mind"
"subj_01","choose what to do","think about something",0.31,"causal_pairs_first","mind","mind"
"subj_01","jump up and down","think about something",0.5,"causal_pairs_first","action","mind"
"subj_01","sit down","think about something",0.65,"causal_pairs_first","action","mind"
"subj_01","get tired","think about something",0.63,"causal_pairs_first","body","mind"
"subj_01","kick something","think about something",0.23,"causal_pairs_first","action","mind"
"subj_01","feel scared","think about something",0.86,"causal_pairs_first","body","mind"
"subj_01","see something","get tired",0.71,"causal_pairs_first","mind","body"
"subj_01","get sick","get tired",0.66,"causal_pairs_first","body","body"
"subj_01","hear something","get tired",0.36,"causal_pairs_first","mind","body"
"subj_01","reach for something","get tired",0.31,"causal_pairs_first","action","body"
"subj_01","remember something","get tired",0.62,"causal_pairs_first","mind","body"
"subj_01","experience pain","get tired",0.52,"causal_pairs_first","body","body"
"subj_01","take a walk","get tired",0.05,"causal_pairs_first","action","body"
"subj_01","become hungry","get tired",0.52,"causal_pairs_first","body","body"
"subj_01","choose what to do","get tired",0.37,"causal_pairs_first","mind","body"
"subj_01","jump up and down","get tired",0.03,"causal_pairs_first","action","body"
"subj_01","sit down","get tired",0.06,"causal_pairs_first","action","body"
"subj_01","think about something","get tired",0.63,"causal_pairs_first","mind","body"
"subj_01","kick something","get tired",0.67,"causal_pairs_first","action","body"
"subj_01","feel scared","get tired",0.32,"causal_pairs_first","body","body"
"subj_01","see something","kick something",0.31,"causal_pairs_first","mind","action"
"subj_01","get sick","kick something",0.66,"causal_pairs_first","body","action"
"subj_01","hear something","kick something",0.56,"causal_pairs_first","mind","action"
"subj_01","reach for something","kick something",0.68,"causal_pairs_first","action","action"
"subj_01","remember something","kick something",0.36,"causal_pairs_first","mind","action"
"subj_01","experience pain","kick something",0.03,"causal_pairs_first","body","action"
"subj_01","take a walk","kick something",0.61,"causal_pairs_first","action","action"
"subj_01","become hungry","kick something",0.35,"causal_pairs_first","body","action"
"subj_01","choose what to do","kick something",0.56,"causal_pairs_first","mind","action"
"subj_01","jump up and down","kick something",0.52,"causal_pairs_first","action","action"
"subj_01","sit down","kick something",0.61,"causal_pairs_first","action","action"
"subj_01","think about something","kick something",0.23,"causal_pairs_first","mind","action"
"subj_01","get tired","kick something",0.67,"causal_pairs_first","body","action"
"subj_01","feel scared","kick something",0.73,"causal_pairs_first","body","action"
"subj_01","see something","feel scared",0.53,"causal_pairs_first","mind","body"
"subj_01","get sick","feel scared",0.28,"causal_pairs_first","body","body"
"subj_01","hear something","feel scared",0.07,"causal_pairs_first","mind","body"
"subj_01","reach for something","feel scared",0.73,"causal_pairs_first","action","body"
"subj_01","remember something","feel scared",0.41,"causal_pairs_first","mind","body"
"subj_01","experience pain","feel scared",0.6,"causal_pairs_first","body","body"
"subj_01","take a walk","feel scared",0.46,"causal_pairs_first","action","body"
"subj_01","become hungry","feel scared",0.81,"causal_pairs_first","body","body"
"subj_01","choose what to do","feel scared",0.76,"causal_pairs_first","mind","body"
"subj_01","jump up and down","feel scared",0.31,"causal_pairs_first","action","body"
"subj_01","sit down","feel scared",0.16,"causal_pairs_first","action","body"
"subj_01","think about something","feel scared",0.86,"causal_pairs_first","mind","body"
"subj_01","get tired","feel scared",0.32,"causal_pairs_first","body","body"
"subj_01","kick something","feel scared",0.73,"causal_pairs_first","action","body"
"subj_02","get tired","see something",0.49,"causal_pairs_second","body","mind"
"subj_02","take a walk","see something",0.27,"causal_pairs_second","action","mind"
"subj_02","hear something","see something",0,"causal_pairs_second","mind","mind"
"subj_02","remember something","see something",0.28,"causal_pairs_second","mind","mind"
"subj_02","get sick","see something",0.51,"causal_pairs_second","body","mind"
"subj_02","experience pain","see something",0.55,"causal_pairs_second","body","mind"
"subj_02","choose what to do","see something",0.38,"causal_pairs_second","mind","mind"
"subj_02","reach for something","see something",0.13,"causal_pairs_second","action","mind"
"subj_02","sit down","see something",0.26,"causal_pairs_second","action","mind"
"subj_02","jump up and down","see something",0.31,"causal_pairs_second","action","mind"
"subj_02","become hungry","see something",0.52,"causal_pairs_second","body","mind"
"subj_02","think about something","see something",0.37,"causal_pairs_second","mind","mind"
"subj_02","kick something","see something",0.23,"causal_pairs_second","action","mind"
"subj_02","feel scared","see something",0.55,"causal_pairs_second","body","mind"
"subj_02","see something","get tired",0.49,"causal_pairs_second","mind","body"
"subj_02","take a walk","get tired",0.16,"causal_pairs_second","action","body"
"subj_02","hear something","get tired",0.53,"causal_pairs_second","mind","body"
"subj_02","remember something","get tired",0.83,"causal_pairs_second","mind","body"
"subj_02","get sick","get tired",0.23,"causal_pairs_second","body","body"
"subj_02","experience pain","get tired",0.43,"causal_pairs_second","body","body"
"subj_02","choose what to do","get tired",0.58,"causal_pairs_second","mind","body"
"subj_02","reach for something","get tired",0.56,"causal_pairs_second","action","body"
"subj_02","sit down","get tired",0.44,"causal_pairs_second","action","body"
"subj_02","jump up and down","get tired",0.27,"causal_pairs_second","action","body"
"subj_02","become hungry","get tired",0.13,"causal_pairs_second","body","body"
"subj_02","think about something","get tired",0.94,"causal_pairs_second","mind","body"
"subj_02","kick something","get tired",0.19,"causal_pairs_second","action","body"
"subj_02","feel scared","get tired",0.11,"causal_pairs_second","body","body"
"subj_02","see something","take a walk",0.27,"causal_pairs_second","mind","action"
"subj_02","get tired","take a walk",0.16,"causal_pairs_second","body","action"
"subj_02","hear something","take a walk",0.32,"causal_pairs_second","mind","action"
"subj_02","remember something","take a walk",0.62,"causal_pairs_second","mind","action"
"subj_02","get sick","take a walk",0.31,"causal_pairs_second","body","action"
"subj_02","experience pain","take a walk",0.34,"causal_pairs_second","body","action"
"subj_02","choose what to do","take a walk",0.39,"causal_pairs_second","mind","action"
"subj_02","reach for something","take a walk",0.32,"causal_pairs_second","action","action"
"subj_02","sit down","take a walk",0.33,"causal_pairs_second","action","action"
"subj_02","jump up and down","take a walk",0.1,"causal_pairs_second","action","action"
"subj_02","become hungry","take a walk",0.27,"causal_pairs_second","body","action"
"subj_02","think about something","take a walk",0.72,"causal_pairs_second","mind","action"
"subj_02","kick something","take a walk",0.05,"causal_pairs_second","action","action"
"subj_02","feel scared","take a walk",0.21,"causal_pairs_second","body","action"
"subj_02","see something","hear something",0,"causal_pairs_second","mind","mind"
"subj_02","get tired","hear something",0.53,"causal_pairs_second","body","mind"
"subj_02","take a walk","hear something",0.32,"causal_pairs_second","action","mind"
"subj_02","remember something","hear something",0.22,"causal_pairs_second","mind","mind"
"subj_02","get sick","hear something",0.5,"causal_pairs_second","body","mind"
"subj_02","experience pain","hear something",0.63,"causal_pairs_second","body","mind"
"subj_02","choose what to do","hear something",0.46,"causal_pairs_second","mind","mind"
"subj_02","reach for something","hear something",0.21,"causal_pairs_second","action","mind"
"subj_02","sit down","hear something",0.21,"causal_pairs_second","action","mind"
"subj_02","jump up and down","hear something",0.39,"causal_pairs_second","action","mind"
"subj_02","become hungry","hear something",0.53,"causal_pairs_second","body","mind"
"subj_02","think about something","hear something",0.33,"causal_pairs_second","mind","mind"
"subj_02","kick something","hear something",0.26,"causal_pairs_second","action","mind"
"subj_02","feel scared","hear something",0.61,"causal_pairs_second","body","mind"
"subj_02","see something","remember something",0.28,"causal_pairs_second","mind","mind"
"subj_02","get tired","remember something",0.83,"causal_pairs_second","body","mind"
"subj_02","take a walk","remember something",0.62,"causal_pairs_second","action","mind"
"subj_02","hear something","remember something",0.22,"causal_pairs_second","mind","mind"
"subj_02","get sick","remember something",0.75,"causal_pairs_second","body","mind"
"subj_02","experience pain","remember something",0.9,"causal_pairs_second","body","mind"
"subj_02","choose what to do","remember something",0.67,"causal_pairs_second","mind","mind"
"subj_02","reach for something","remember something",0.41,"causal_pairs_second","action","mind"
"subj_02","sit down","remember something",0.4,"causal_pairs_second","action","mind"
"subj_02","jump up and down","remember something",0.68,"causal_pairs_second","action","mind"
"subj_02","become hungry","remember something",0.79,"causal_pairs_second","body","mind"
"subj_02","think about something","remember something",0.09,"causal_pairs_second","mind","mind"
"subj_02","kick something","remember something",0.55,"causal_pairs_second","action","mind"
"subj_02","feel scared","remember something",0.91,"causal_pairs_second","body","mind"
"subj_02","see something","get sick",0.51,"causal_pairs_second","mind","body"
"subj_02","get tired","get sick",0.23,"causal_pairs_second","body","body"
"subj_02","take a walk","get sick",0.31,"causal_pairs_second","action","body"
"subj_02","hear something","get sick",0.5,"causal_pairs_second","mind","body"
"subj_02","remember something","get sick",0.75,"causal_pairs_second","mind","body"
"subj_02","experience pain","get sick",0.71,"causal_pairs_second","body","body"
"subj_02","choose what to do","get sick",0.78,"causal_pairs_second","mind","body"
"subj_02","reach for something","get sick",0.66,"causal_pairs_second","action","body"
"subj_02","sit down","get sick",0.27,"causal_pairs_second","action","body"
"subj_02","jump up and down","get sick",0.49,"causal_pairs_second","action","body"
"subj_02","become hungry","get sick",0.02,"causal_pairs_second","body","body"
"subj_02","think about something","get sick",0.9,"causal_pairs_second","mind","body"
"subj_02","kick something","get sick",0.23,"causal_pairs_second","action","body"
"subj_02","feel scared","get sick",0.42,"causal_pairs_second","body","body"
"subj_02","see something","experience pain",0.55,"causal_pairs_second","mind","body"
"subj_02","get tired","experience pain",0.43,"causal_pairs_second","body","body"
"subj_02","take a walk","experience pain",0.34,"causal_pairs_second","action","body"
"subj_02","hear something","experience pain",0.63,"causal_pairs_second","mind","body"
"subj_02","remember something","experience pain",0.9,"causal_pairs_second","mind","body"
"subj_02","get sick","experience pain",0.71,"causal_pairs_second","body","body"
"subj_02","choose what to do","experience pain",0.23,"causal_pairs_second","mind","body"
"subj_02","reach for something","experience pain",0.42,"causal_pairs_second","action","body"
"subj_02","sit down","experience pain",0.74,"causal_pairs_second","action","body"
"subj_02","jump up and down","experience pain",0.17,"causal_pairs_second","action","body"
"subj_02","become hungry","experience pain",0.63,"causal_pairs_second","body","body"
"subj_02","think about something","experience pain",0.93,"causal_pairs_second","mind","body"
"subj_02","kick something","experience pain",0.47,"causal_pairs_second","action","body"
"subj_02","feel scared","experience pain",0.27,"causal_pairs_second","body","body"
"subj_02","see something","choose what to do",0.38,"causal_pairs_second","mind","mind"
"subj_02","get tired","choose what to do",0.58,"causal_pairs_second","body","mind"
"subj_02","take a walk","choose what to do",0.39,"causal_pairs_second","action","mind"
"subj_02","hear something","choose what to do",0.46,"causal_pairs_second","mind","mind"
"subj_02","remember something","choose what to do",0.67,"causal_pairs_second","mind","mind"
"subj_02","get sick","choose what to do",0.78,"causal_pairs_second","body","mind"
"subj_02","experience pain","choose what to do",0.23,"causal_pairs_second","body","mind"
"subj_02","reach for something","choose what to do",0.19,"causal_pairs_second","action","mind"
"subj_02","sit down","choose what to do",0.68,"causal_pairs_second","action","mind"
"subj_02","jump up and down","choose what to do",0.23,"causal_pairs_second","action","mind"
"subj_02","become hungry","choose what to do",0.74,"causal_pairs_second","body","mind"
"subj_02","think about something","choose what to do",0.67,"causal_pairs_second","mind","mind"
"subj_02","kick something","choose what to do",0.48,"causal_pairs_second","action","mind"
"subj_02","feel scared","choose what to do",0.49,"causal_pairs_second","body","mind"
"subj_02","see something","reach for something",0.13,"causal_pairs_second","mind","action"
"subj_02","get tired","reach for something",0.56,"causal_pairs_second","body","action"
"subj_02","take a walk","reach for something",0.32,"causal_pairs_second","action","action"
"subj_02","hear something","reach for something",0.21,"causal_pairs_second","mind","action"
"subj_02","remember something","reach for something",0.41,"causal_pairs_second","mind","action"
"subj_02","get sick","reach for something",0.66,"causal_pairs_second","body","action"
"subj_02","experience pain","reach for something",0.42,"causal_pairs_second","body","action"
"subj_02","choose what to do","reach for something",0.19,"causal_pairs_second","mind","action"
"subj_02","sit down","reach for something",0.47,"causal_pairs_second","action","action"
"subj_02","jump up and down","reach for something",0.26,"causal_pairs_second","action","action"
"subj_02","become hungry","reach for something",0.65,"causal_pairs_second","body","action"
"subj_02","think about something","reach for something",0.43,"causal_pairs_second","mind","action"
"subj_02","kick something","reach for something",0.36,"causal_pairs_second","action","action"
"subj_02","feel scared","reach for something",0.55,"causal_pairs_second","body","action"
"subj_02","see something","sit down",0.26,"causal_pairs_second","mind","action"
"subj_02","get tired","sit down",0.44,"causal_pairs_second","body","action"
"subj_02","take a walk","sit down",0.33,"causal_pairs_second","action","action"
"subj_02","hear something","sit down",0.21,"causal_pairs_second","mind","action"
"subj_02","remember something","sit down",0.4,"causal_pairs_second","mind","action"
"subj_02","get sick","sit down",0.27,"causal_pairs_second","body","action"
"subj_02","experience pain","sit down",0.74,"causal_pairs_second","body","action"
"subj_02","choose what to do","sit down",0.68,"causal_pairs_second","mind","action"
"subj_02","reach for something","sit down",0.47,"causal_pairs_second","action","action"
"subj_02","jump up and down","sit down",0.48,"causal_pairs_second","action","action"
"subj_02","become hungry","sit down",0.34,"causal_pairs_second","body","action"
"subj_02","think about something","sit down",0.56,"causal_pairs_second","mind","action"
"subj_02","kick something","sit down",0.2,"causal_pairs_second","action","action"
"subj_02","feel scared","sit down",0.59,"causal_pairs_second","body","action"
"subj_02","see something","jump up and down",0.31,"causal_pairs_second","mind","action"
"subj_02","get tired","jump up and down",0.27,"causal_pairs_second","body","action"
"subj_02","take a walk","jump up and down",0.1,"causal_pairs_second","action","action"
"subj_02","hear something","jump up and down",0.39,"causal_pairs_second","mind","action"
"subj_02","remember something","jump up and down",0.68,"causal_pairs_second","mind","action"
"subj_02","get sick","jump up and down",0.49,"causal_pairs_second","body","action"
"subj_02","experience pain","jump up and down",0.17,"causal_pairs_second","body","action"
"subj_02","choose what to do","jump up and down",0.23,"causal_pairs_second","mind","action"
"subj_02","reach for something","jump up and down",0.26,"causal_pairs_second","action","action"
"subj_02","sit down","jump up and down",0.48,"causal_pairs_second","action","action"
"subj_02","become hungry","jump up and down",0.43,"causal_pairs_second","body","action"
"subj_02","think about something","jump up and down",0.74,"causal_pairs_second","mind","action"
"subj_02","kick something","jump up and down",0.22,"causal_pairs_second","action","action"
"subj_02","feel scared","jump up and down",0.21,"causal_pairs_second","body","action"
"subj_02","see something","become hungry",0.52,"causal_pairs_second","mind","body"
"subj_02","get tired","become hungry",0.13,"causal_pairs_second","body","body"
"subj_02","take a walk","become hungry",0.27,"causal_pairs_second","action","body"
"subj_02","hear something","become hungry",0.53,"causal_pairs_second","mind","body"
"subj_02","remember something","become hungry",0.79,"causal_pairs_second","mind","body"
"subj_02","get sick","become hungry",0.02,"causal_pairs_second","body","body"
"subj_02","experience pain","become hungry",0.63,"causal_pairs_second","body","body"
"subj_02","choose what to do","become hungry",0.74,"causal_pairs_second","mind","body"
"subj_02","reach for something","become hungry",0.65,"causal_pairs_second","action","body"
"subj_02","sit down","become hungry",0.34,"causal_pairs_second","action","body"
"subj_02","jump up and down","become hungry",0.43,"causal_pairs_second","action","body"
"subj_02","think about something","become hungry",0.94,"causal_pairs_second","mind","body"
"subj_02","kick something","become hungry",0.21,"causal_pairs_second","action","body"
"subj_02","feel scared","become hungry",0.32,"causal_pairs_second","body","body"
"subj_02","see something","think about something",0.37,"causal_pairs_second","mind","mind"
"subj_02","get tired","think about something",0.94,"causal_pairs_second","body","mind"
"subj_02","take a walk","think about something",0.72,"causal_pairs_second","action","mind"
"subj_02","hear something","think about something",0.33,"causal_pairs_second","mind","mind"
"subj_02","remember something","think about something",0.09,"causal_pairs_second","mind","mind"
"subj_02","get sick","think about something",0.9,"causal_pairs_second","body","mind"
"subj_02","experience pain","think about something",0.93,"causal_pairs_second","body","mind"
"subj_02","choose what to do","think about something",0.67,"causal_pairs_second","mind","mind"
"subj_02","reach for something","think about something",0.43,"causal_pairs_second","action","mind"
"subj_02","sit down","think about something",0.56,"causal_pairs_second","action","mind"
"subj_02","jump up and down","think about something",0.74,"causal_pairs_second","action","mind"
"subj_02","become hungry","think about something",0.94,"causal_pairs_second","body","mind"
"subj_02","kick something","think about something",0.68,"causal_pairs_second","action","mind"
"subj_02","feel scared","think about something",1,"causal_pairs_second","body","mind"
"subj_02","see something","kick something",0.23,"causal_pairs_second","mind","action"
"subj_02","get tired","kick something",0.19,"causal_pairs_second","body","action"
"subj_02","take a walk","kick something",0.05,"causal_pairs_second","action","action"
"subj_02","hear something","kick something",0.26,"causal_pairs_second","mind","action"
"subj_02","remember something","kick something",0.55,"causal_pairs_second","mind","action"
"subj_02","get sick","kick something",0.23,"causal_pairs_second","body","action"
"subj_02","experience pain","kick something",0.47,"causal_pairs_second","body","action"
"subj_02","choose what to do","kick something",0.48,"causal_pairs_second","mind","action"
