"","first_item","third_item","middle_item","freesort_minus_causal_pairs_distance","rank"
"75","take a walk","reach for something","choose what to do",0.359889696624005,10
"76","take a walk","reach for something","sit down",-0.0707143075096102,11
"77","take a walk","reach for something","kick something",-0.178928228607504,12
"78","take a walk","reach for something","jump up and down",-0.329930777697008,13
"79","get tired","feel scared","think about something",0.663437762781263,1
"80","get tired","feel scared","remember something",0.532585384769782,2
"81","get tired","feel scared","choose what to do",0.531844578727925,3
"82","get tired","feel scared","see something",0.506681453648741,4
"83","get tired","feel scared","reach for something",0.397430750702529,5
"84","get tired","feel scared","hear something",0.382277195944444,6
"85","get tired","feel scared","sit down",0.367136988619563,7
"86","get tired","feel scared","take a walk",0.248301465690335,8
"87","get tired","feel scared","kick something",0.191388897593311,9
"88","get tired","feel scared","experience pain",0.155704388052087,10
"89","get tired","feel scared","get sick",0.102500244477743,11
"90","get tired","feel scared","jump up and down",0.0344183598079555,12
"91","get tired","feel scared","become hungry",-0.118436785986492,13
"92","become hungry","feel scared","think about something",0.699150559246289,1
"93","become hungry","feel scared","choose what to do",0.565607457370725,2
"94","become hungry","feel scared","remember something",0.565329329056374,3
"95","become hungry","feel scared","reach for something",0.504659534884016,4
"96","become hungry","feel scared","see something",0.494197379656822,5
"97","become hungry","feel scared","take a walk",0.363165633762154,6
"98","become hungry","feel scared","hear something",0.341693726061346,7
"99","become hungry","feel scared","sit down",0.283553763960302,8
"100","become hungry","feel scared","experience pain",0.233767133137133,9
"101","become hungry","feel scared","kick something",0.217130409486444,10
"102","become hungry","feel scared","jump up and down",0.120975718046377,11
"103","become hungry","feel scared","get sick",0.114334271448746,12
"104","become hungry","feel scared","get tired",-0.0578620452777129,13
"105","get sick","become hungry","think about something",0.690736300930665,1
"106","get sick","become hungry","see something",0.550824011896041,2
"107","get sick","become hungry","remember something",0.518415310248454,3
"108","get sick","become hungry","choose what to do",0.426271927844152,4
"109","get sick","become hungry","take a walk",0.411788359010282,5
"110","get sick","become hungry","reach for something",0.37099575388306,6
"111","get sick","become hungry","sit down",0.3616137714116,7
"112","get sick","become hungry","hear something",0.260024465751068,8
"113","get sick","become hungry","jump up and down",0.225672608119114,9
"114","get sick","become hungry","kick something",0.107933671998602,10
"115","get sick","become hungry","get tired",0.0678766620095169,11
"116","get sick","become hungry","feel scared",0.029980808247473,12
"117","get sick","become hungry","experience pain",-0.0520979809222647,13
