"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similar_itemA","feedback","age","ethnicity","gender","race"
"","","","","","html-button-response","10","2.1.0","335452","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","3861","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>think about something</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","think about something","take a walk","remember something","","","","",""
"","","","","","html-button-response","11","2.1.0","338334","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","2879","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>remember something</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","12","2.1.0","354845","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","16508","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>hear something</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","13","2.1.0","357996","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","3147","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>sit down</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","1","","similar","","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","14","2.1.0","361278","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","3280","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>get sick</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","15","2.1.0","367363","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","6084","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>kick something</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","kick something","think about something","jump up and down","","","","",""
"","","","","","html-button-response","16","2.1.0","370620","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","3256","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>feel scared</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>see something</strong></p>","feel scared","see something","become hungry","","","","",""
"","","","","","html-button-response","17","2.1.0","375047","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","4426","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>reach for something</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","0","","similar","","<p style=""font-size: 25px;""><strong>kick something</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","18","2.1.0","379840","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","4790","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>experience pain</strong>. 
               <br>However you ran out of that specific spell. 
               <br>Which of these other two spells would most likely accomplish your goal?</p>
               <p style=""font-size: 25px;"">Giving the creature the ability to...</p>","1","","similar","","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","experience pain","kick something","feel scared","","","","",""
"","","","","","instructions","19","2.1.0","383469","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","","3627","","","[{""page_index"":0,""viewing_time"":3627}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","466471","20BBD8537EB741D0908AFFF0683DE8FA","6174a6f2-b53e-49eb-af73-9da6486407e5","96564893-8422-4b16-9829-37cef1b14394","demographics_survey","82985","","{""feedback"":""I responded the best I could see was the best action"",""age"":""44"",""gender"":""Male"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I responded the best I could see was the best action","44","Non-Hispanic","Male","Black/African American"
