subject_id,condition,first_item,middle_causal,middle_similar,third_item,response,domain_first_item,domain_third_item,domain_middle_causal,domain_middle_similar,freesort_minus_causal_distance_causal,rank_causal,freesort_minus_causal_distance_similar,rank_similar,joint_distance_difference
subj_02,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_02,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_03,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_03,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_03,Causal Chain,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_03,Causal Chain,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_03,Causal Chain,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_03,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_03,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_03,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_03,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_04,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_04,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_04,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_04,Causal Chain,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_04,Causal Chain,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_04,Causal Chain,remember something,feel scared,think about something,hear something,Direct,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_04,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_04,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_04,Causal Chain,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_05,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_05,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_05,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_05,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_05,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_05,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_05,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_05,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_05,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_06,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_06,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_06,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_06,Causal Chain,get sick,remember something,experience pain,become hungry,Direct,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_06,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_06,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_06,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_06,Causal Chain,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_06,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_07,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_07,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_07,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_07,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_07,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_07,Causal Chain,choose what to do,take a walk,see something,hear something,Direct,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_07,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_07,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_07,Causal Chain,get sick,remember something,experience pain,become hungry,Direct,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_08,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_08,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_08,Causal Chain,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_08,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_08,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_08,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_08,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_08,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_08,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_09,Causal Chain,choose what to do,take a walk,see something,hear something,Direct,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_09,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_09,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_09,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_09,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_09,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_09,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_09,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_09,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_10,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_10,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_10,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_10,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_10,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_10,Causal Chain,choose what to do,take a walk,see something,hear something,Direct,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_10,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_10,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_10,Causal Chain,remember something,feel scared,think about something,hear something,Direct,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_11,Causal Chain,remember something,feel scared,think about something,hear something,Direct,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_11,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_11,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_11,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_11,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_11,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_11,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_11,Causal Chain,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_11,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_12,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_12,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_12,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_12,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_12,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_12,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_12,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_12,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_12,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_13,Causal Chain,choose what to do,take a walk,see something,hear something,Direct,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_13,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_13,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_13,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_13,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_13,Causal Chain,remember something,feel scared,think about something,hear something,Direct,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_13,Causal Chain,get sick,remember something,experience pain,become hungry,Direct,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_13,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_13,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_14,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_14,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_14,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_14,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_14,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_14,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_14,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_14,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_14,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_15,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_15,Causal Chain,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_15,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_15,Causal Chain,choose what to do,take a walk,see something,hear something,Direct,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_15,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_15,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_15,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_15,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_15,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_16,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_16,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_16,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_16,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_16,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_16,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_16,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_16,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_16,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_17,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_17,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_17,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_17,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_17,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_17,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_17,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_17,Causal Chain,remember something,feel scared,think about something,hear something,Direct,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_17,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_18,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_18,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_18,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_18,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_18,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_18,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_18,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_18,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_18,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_19,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_19,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_19,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_19,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_19,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Intrinsic,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_19,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_19,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_19,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Intrinsic,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_19,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_20,Causal Chain,remember something,feel scared,think about something,hear something,Direct,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_20,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_20,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_20,Causal Chain,choose what to do,take a walk,see something,hear something,Direct,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_20,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_20,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_20,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_20,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_20,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_21,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_21,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_21,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_21,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_21,Causal Chain,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_21,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_21,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_21,Causal Chain,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_21,Causal Chain,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_22,Intrinsic Cause,remember something,feel scared,think about something,hear something,Intrinsic,mind,mind,bio,mind,0.46,3,-0.09,12,0.55
subj_22,Intrinsic Cause,jump up and down,get tired,take a walk,sit down,Intrinsic,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_22,Intrinsic Cause,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_22,Intrinsic Cause,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_22,Intrinsic Cause,sit down,experience pain,take a walk,jump up and down,Intrinsic,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_22,Intrinsic Cause,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_22,Intrinsic Cause,get sick,remember something,experience pain,become hungry,Intrinsic,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_22,Intrinsic Cause,get tired,choose what to do,become hungry,feel scared,Intrinsic,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_22,Intrinsic Cause,see something,take a walk,remember something,hear something,Intrinsic,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_23,Causal Chain,jump up and down,get tired,take a walk,sit down,Direct,action,action,bio,action,0.66,2,-0.4,13,1.06
subj_23,Causal Chain,become hungry,think about something,get tired,feel scared,Direct,bio,bio,mind,bio,0.7,1,-0.06,13,0.76
subj_23,Causal Chain,see something,take a walk,remember something,hear something,Direct,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_23,Causal Chain,get sick,remember something,experience pain,become hungry,Direct,bio,bio,mind,bio,0.52,3,-0.05,13,0.5700000000000001
subj_23,Causal Chain,sit down,experience pain,take a walk,jump up and down,Direct,action,action,bio,action,0.4,5,-0.57,13,0.97
subj_23,Causal Chain,take a walk,see something,jump up and down,reach for something,Direct,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_23,Causal Chain,get tired,choose what to do,become hungry,feel scared,Direct,bio,bio,mind,bio,0.53,3,-0.12,13,0.65
subj_23,Causal Chain,choose what to do,take a walk,see something,hear something,Intrinsic,mind,mind,action,mind,0.49,1,-0.13,13,0.62
